epoch,volume_id,micro_dice,true_pixels,predicted_pixels,positive_slices,positive_slice_recall,positive_predicted_empty_pct,empty_slice_false_positive_pct
1,104,1.4486035461604966e-11,69032,0,122,0.0,100.0,0.0
1,105,1.0,0,0,0,0.0,0.0,0.0
1,106,1.0,0,0,0,0.0,0.0,0.0
1,107,6.78886625472582e-10,1473,0,71,0.0,100.0,0.0
1,108,2.7495339539872377e-12,363698,0,202,0.0,100.0,0.0
1,109,5.494505494203598e-11,18200,0,131,0.0,100.0,0.0
1,110,3.213367609151241e-11,31120,0,130,0.0,100.0,0.0
1,111,5.464480871330884e-10,1830,0,92,0.0,100.0,0.0
1,112,3.3898304969836253e-09,295,0,26,0.0,100.0,0.0
1,113,4.74473334576083e-11,21076,0,135,0.0,100.0,0.0
1,114,1.0,0,0,0,0.0,0.0,0.0
1,115,1.0,0,0,0,0.0,0.0,0.0
1,116,6.546087730624914e-12,152763,0,133,0.0,100.0,0.0
2,104,1.4486035461604966e-11,69032,0,122,0.0,100.0,0.0
2,105,1.0,0,0,0,0.0,0.0,0.0
2,106,1.0,0,0,0,0.0,0.0,0.0
2,107,6.78886625472582e-10,1473,0,71,0.0,100.0,0.0
2,108,2.7495339539872377e-12,363698,0,202,0.0,100.0,0.0
2,109,5.494505494203598e-11,18200,0,131,0.0,100.0,0.0
2,110,3.213367609151241e-11,31120,0,130,0.0,100.0,0.0
2,111,5.464480871330884e-10,1830,0,92,0.0,100.0,0.0
2,112,3.3898304969836253e-09,295,0,26,0.0,100.0,0.0
2,113,4.74473334576083e-11,21076,0,135,0.0,100.0,0.0
2,114,1.0,0,0,0,0.0,0.0,0.0
2,115,1.0,0,0,0,0.0,0.0,0.0
2,116,6.546087730624914e-12,152763,0,133,0.0,100.0,0.0
3,104,1.4486035461604966e-11,69032,0,122,0.0,100.0,0.0
3,105,1.0,0,0,0,0.0,0.0,0.0
3,106,1.0,0,0,0,0.0,0.0,0.0
3,107,6.78886625472582e-10,1473,0,71,0.0,100.0,0.0
3,108,2.7495339539872377e-12,363698,0,202,0.0,100.0,0.0
3,109,5.494505494203598e-11,18200,0,131,0.0,100.0,0.0
3,110,3.213367609151241e-11,31120,0,130,0.0,100.0,0.0
3,111,5.464480871330884e-10,1830,0,92,0.0,100.0,0.0
